Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
Ssangyong,Rexton,2022,1,DEMO,Automatic,AWD,Diesel,2.2,4.0,8.7,5595.0,White,Black,NSW,SUV,4.0,7.0,51990.0,51990.0
MG,MG3,2022,1,USED,Automatic,Front,Premium,1.5,4.0,6.7,16.0,Black,Black,NSW,Hatchback,5.0,5.0,19990.0,19990.0
BMW,430I,2022,1,USED,Automatic,Rear,Premium,2.0,4.0,6.6,8472.0,Grey,White,NSW,Coupe,2.0,4.0,108988.0,108988.0
Mercedes-Benz,E500,2011,12,USED,Automatic,Rear,Premium,5.5,8.0,11.0,136517.0,White,Brown,NSW,Coupe,2.0,4.0,32990.0,2749.1666666666665
Renault,Arkana,2022,1,USED,Automatic,Front,Unleaded,1.3,4.0,6.0,1035.0,Grey,Black,NSW,SUV,4.0,5.0,34990.0,34990.0
Toyota,Estima,2004,19,USED,Automatic,Other,Unleaded,,,,160230.0,Grey,,NSW,Commercial,,,9990.0,525.7894736842105
Land,Rover,2017,6,USED,Automatic,AWD,Diesel,2.0,4.0,5.1,67662.0,White,Black,NSW,SUV,2.0,4.0,62280.0,10380.0
Nissan,Pulsar,2000,23,USED,Automatic,Front,Unleaded,1.6,4.0,8.0,300539.0,Red,Grey,NSW,Hatchback,5.0,5.0,2995.0,130.2173913043478
Toyota,86,2013,10,USED,Automatic,Rear,Premium,2.0,4.0,7.1,82012.0,Black,,NSW,Coupe,2.0,4.0,24888.0,2488.8
Honda,Jazz,2014,9,USED,Automatic,Front,Hybrid,1.3,4.0,4.5,38229.0,Blue,,NSW,Hatchback,5.0,5.0,17900.0,1988.888888888889
Toyota,HiAce,2009,14,USED,Automatic,Other,Unleaded,,,,148190.0,White,,NSW,Commercial,,,42500.0,3035.714285714286
Toyota,HiAce,2018,5,USED,Automatic,Rear,Unleaded,2.7,4.0,9.8,16324.0,White,Grey,NSW,Commercial,4.0,2.0,41999.0,8399.8
Honda,City,2015,8,USED,Automatic,Other,Unleaded,,,,181745.0,Black,,NSW,Other,,,11999.0,1499.875
Toyota,HiAce,2017,6,USED,Automatic,Other,,,,,136296.0,Silver,Grey,NSW,Other,,,38999.0,6499.833333333333
